account_id,company_name,industry,company_size,employee_count,annual_revenue,country,state,city,account_status,account_owner,customer_since,last_activity
ACC000001,Watts PLC,Retail,Mid Market,494,143851671.0,UK,England,Edinburgh,Active,David Wilson,2024-01-20,2025-05-31
ACC000002,"Wilson, Miranda and Pena",Manufacturing,Mid Market,407,268791141.0,Germany,Berlin,Berlin,Active,Sneha Reddy,2024-04-08,2026-05-27
ACC000003,Martinez-Brown,Finance,Mid Market,601,165662872.0,India,Andhra Pradesh,Kochi,Active,Priya Singh,Dec 08 2023,2024-04-24
ACC000004,Walker Ltd,E-Commerce,Startup,44,2462697.0,USA,New York,Austin,Active,Sneha Reddy,2023-08-07,2024-07-01
ACC000005,Ward Inc,Finance,Startup,45,3015795.0,Germany,Bavaria,Berlin,Active,Sneha Reddy,2025-04-12,2025-09-05
ACC000006,Torres-Walker,IT Services,Startup,14,984023.0,UK,,London,Active,David Wilson,2022-09-21,2026-03-10
ACC000007,Simmons Inc,Education,Mid Market,896,96593576.0,UK,England,Edinburgh,Active,Sneha Reddy,2024-05-20,2025-09-12
ACC000008,"Beck, Miller and Miller",Retail,Mid Market,524,369616079.0,Singapore,Singapore,Singapore,Active,Priya Singh,2025-01-22,2026-01-26
ACC000009,"Ross, Cunningham and Matthews",E-Commerce,Small Business,80,26581497.0,India,Delhi,Vijayawada,Active,John Miller,2023-06-23,2025-01-08
ACC000010,Rogers and Sons,Finance,Mid Market,657,490915696.0,Germany,Berlin,Munich,Active,Rahul Sharma,2021-09-14,2022-01-10
ACC000011,Lopez Ltd,Telecommunications,Small Business,65,41868006.0,US,Texas,Austin,Active,Priya Singh,2024-10-01,2026-02-07
ACC000012,Woods and Sons,Retail,Startup,22,2202169.0,USA,,Munich,Active,Sarah Johnson,2023-01-01,2025-07-30
ACC000013,Macdonald Ltd,Finance,Enterprise,6919,1118229391.0,India,Kerala,Bengaluru,Active,David Wilson,2023-06-01,2025-12-15
ACC000014,Gray PLC,Retail,Mid Market,931,130877716.0,Canada,British Columbia,Vancouver,Active,Rahul Sharma,2025-06-18,2026-03-16
ACC000015,Barrett and Sons,Telecommunications,Mid Market,948,295267274.0,Singapore,Singapore,Singapore,Active,Sneha Reddy,Jun 07 2022,2023-12-04
ACC000016,Beasley-Craig,Energy,Small Business,122,29438903.0,Singapore,Singapore,Singapore,Active,Rahul Sharma,2023-11-19,2025-01-16
ACC000017,"Huff, Adams and Reid",E-Commerce,Mid Market,876,66526630.0,UK,England,London,Active,Sarah Johnson,2025-05-20,2025-08-08
ACC000018,"Norman, Chavez and Hernandez",Manufacturing,Small Business,153,41016970.0,Germany,Bavaria,Munich,Active,Sarah Johnson,2024-10-22,2026-01-17
ACC000019,Powell LLC,Manufacturing,Startup,21,1453482.0,India,Telangana,Mumbai,Active,Priya Singh,2024-07-19,2024-07-26
ACC000020,"Garcia, Mosley and Hebert",IT Services,Mid Market,769,434908002.0,Canada,Ontario,Toronto,Active,John Miller,2023-04-28,2023-09-10
ACC000021,Jones-Spencer,Retail,Enterprise,1146,2659771108.0,Singapore,Singapore,Singapore,Active,John Miller,2022-09-02,2022-09-10
ACC000022,Tucker Ltd,Manufacturing,Enterprise,4703,7553048478.0,Singapore,Singapore,Singapore,Active,Rahul Sharma,2024-06-13,2026-02-18
ACC000023,Morales-Smith,Retail,Mid Market,343,65965086.0,USA,New York,San Francisco,Active,Rahul Sharma,2021-12-29,2024-08-26
ACC000024,Salazar-Griffin,Healthcare,Mid Market,671,285782385.0,Germany,Bavaria,Munich,Active,Priya Singh,2022-11-13,2024-05-26
ACC000025,Khan Inc,Manufacturing,Mid Market,403,371088231.0,UK,England,London,Active,Priya Singh,2023-03-11,2025-12-09
ACC000026,"Hicks, Gilbert and Jackson",Telecommunications,Startup,35,3479811.0,India,Karnataka,Delhi,Active,Sneha Reddy,2023-09-23,2025-07-06
ACC000027,Boyd-Frye,Energy,Startup,41,820585.0,UK,England,London,Active,John Miller,2022-09-28,2025-11-25
ACC000028,"Alvarado, Powell and Lewis",Education,Small Business,55,39786339.0,UK,Scotland,Edinburgh,Active,John Miller,2024-06-20,2025-01-25
ACC000029,"Woods, Odonnell and Thomas",IT Services,Mid Market,575,252086424.0,UK,Scotland,Edinburgh,Active,David Wilson,2022-02-28,2025-02-05
ACC000030,Taylor PLC,Telecommunications,Small Business,243,37282135.0,Singapore,Singapore,Singapore,Active,Priya Singh,2023-10-21,2025-08-06
ACC000031,Hutchinson Inc,Education,Small Business,207,25183600.0,USA,,Austin,Active,John Miller,2023-01-15,2024-10-14
ACC000032,Rivas PLC,Logistics,Small Business,160,45123487.0,Canada,British Columbia,Toronto,Active,Priya Singh,2022-10-10,2025-05-28
ACC000033,"Nguyen, Anderson and Parker",Logistics,Startup,12,4043864.0,Canada,Ontario,Vancouver,Active,Rahul Sharma,2022-02-02,2026-01-04
ACC000034,Garcia Group,Retail,Small Business,120,36037994.0,Singapore,Singapore,Singapore,Active,John Miller,2023-11-14,2025-12-03
ACC000035,"Wells, Harris and Mason",IT Services,Enterprise,3163,2759979851.0,India,Delhi,Vijayawada,Active,Sneha Reddy,2023-05-25,2025-11-12
ACC000036,Snyder-Anderson,Healthcare,Small Business,210,39295973.0,UK,Scotland,Edinburgh,Active,Meera Nair,2022-03-12,2024-01-03
ACC000037,Morris-Sandoval,Finance,Enterprise,1726,8668929989.0,U.S.A.,Karnataka,Vijayawada,Active,Arjun Verma,2024-12-20,2025-03-07
ACC000038,"Moran, Martinez and Matthews",E-Commerce,Mid Market,284,117233967.0,Canada,Ontario,Vancouver,Active,Arjun Verma,2023-12-02,2026-06-20
ACC000039,Robbins Inc,Finance,Mid Market,528,114669365.0,Singapore,Singapore,Singapore,Active,Arjun Verma,2025-06-22,2026-02-18
ACC000040,Nicholson-Dominguez,Energy,Startup,42,3145946.0,Germany,Bavaria,Munich,Active,Priya Singh,2022-07-14,2024-02-07
ACC000041,"Cordova, Ellison and Smith",Healthcare,Mid Market,534,278426769.0,Canada,British Columbia,Vancouver,Active,Rahul Sharma,2022-11-02,2023-03-28
ACC000042,Barnes PLC,Education,Startup,25,4402987.0,Canada,British Columbia,Toronto,Active,Meera Nair,2024-12-31,2025-12-21
ACC000043,White Inc,Energy,Startup,46,4246760.0,Canada,Ontario,Toronto,Active,John Miller,2024-04-27,2025-06-21
ACC000044,"Sharp, Joseph and Williams",E-Commerce,Small Business,177,18765616.0,India,Kerala,Hyderabad,Active,Sneha Reddy,2024-08-22,2025-10-27
ACC000045,Smith Group,Telecommunications,Mid Market,817,328856659.0,UK,England,London,Active,Sarah Johnson,2023-06-18,2026-05-29
ACC000046,"Jefferson, Davis and Benjamin",Education,Startup,22,2368754.0,Canada,British Columbia,Vancouver,Active,Sarah Johnson,2021-11-03,2023-06-14
ACC000047,Holloway Inc,Telecommunications,Enterprise,6894,6573220364.0,Singapore,Singapore,Singapore,Active,John Miller,2023-02-22,2025-10-15
ACC000048,Salas-Thomas,Healthcare,Startup,19,711290.0,India,Tamil Nadu,Hyderabad,Active,Rahul Sharma,2023-10-23,2026-06-17
ACC000049,"Holmes, Anderson and Jackson",Logistics,Small Business,54,23991619.0,Canada,British Columbia,Toronto,Active,Priya Singh,2024-07-29,2025-03-21
ACC000050,Weaver-Murphy,Education,Small Business,249,8588366.0,Germany,Berlin,Berlin,Active,David Wilson,2023-11-27,2026-05-21
ACC000051,Allen and Sons,Finance,Small Business,50,29332115.0,Singapore,Singapore,Singapore,Active,John Miller,2024-06-07,2024-08-29
ACC000052,Lawrence and Sons,E-Commerce,Mid Market,618,106650586.0,USA,New York,San Francisco,Active,Sneha Reddy,2024-02-02,2024-07-20
ACC000053,Weber-Kelly,Logistics,Enterprise,6021,4206855322.0,Singapore,Singapore,Singapore,Active,Meera Nair,2023-01-16,2026-03-08
ACC000054,Johnson LLC,IT Services,Small Business,59,20874732.0,UK,Scotland,London,Active,Sneha Reddy,2021-09-16,2023-07-19
ACC000055,Lowe-Castillo,Energy,Small Business,233,26362485.0,US,Texas,Austin,Inactive,Sarah Johnson,2022-04-11,2025-12-22
ACC000056,Benson and Sons,Energy,Mid Market,474,284391027.0,UK,Scotland,Edinburgh,Active,Rahul Sharma,2024-07-24,2025-09-10
ACC000057,Walker-Berry,Retail,Mid Market,411,384989492.0,USA,New York,Austin,Active,David Wilson,2023-10-05,2025-03-14
ACC000058,Keith-Walker,Logistics,Small Business,155,8635649.0,Singapore,Singapore,Singapore,Active,John Miller,2025-05-08,2026-06-10
ACC000059,Lopez-Clark,IT Services,Startup,49,1282912.0,Singapore,Singapore,Singapore,Active,Rahul Sharma,31/01/2023,2023-07-15
ACC000060,Mills-Hernandez,Education,Mid Market,868,495827926.0,Canada,Ontario,Toronto,Active,Arjun Verma,2023-02-22,2024-08-17
ACC000061,Price-Wolf,Finance,Small Business,224,25094691.0,Germany,Bavaria,Berlin,Inactive,Rahul Sharma,2022-01-17,2025-12-24
ACC000062,Williams-Fox,Manufacturing,Small Business,59,5767760.0,USA,California,Miami,Active,Rahul Sharma,2024-05-17,2024-12-31
ACC000063,Smith LLC,Retail,Enterprise,8767,7701365280.0,Germany,Berlin,Munich,Active,John Miller,2023-07-25,2024-08-13
