campaign_id,campaign_name,campaign_type,budget,spend,impressions,clicks,leads_generated,conversions,ROI,start_date,end_date
CMP00001,Q1 Referral Convert 2026 #1,Referral,6202.82,4233.05,347607,41239,4549,1125,,2024-10-03,2024-11-14
CMP00002,Winter Organic Boost 2026 #2,Organic,4370.72,3676.98,153697,11030,1971,199,35821.19,2024-02-21,2024-04-21
CMP00003,Q3 Google Ads Engage 2024 #3,Google Ads,97244.93,82204.13,7126,209,33,4,-54.08,2022-04-01,2022-06-21
CMP00004,Q4 Webinar Grow 2026 #4,Webinar,12592.68,7882.99,447534,67207,23700,6966,517776.59,2025-04-12,2025-05-30
CMP00005,Fall Email Maximize 2023 #5,Email,8935.29,8417.49,302394,9580,3581,279,48177.94,2022-11-03,2022-12-29
CMP00006,Q2 Webinar Engage 2024 #6,Webinar,24602.66,16640.51,222097,32227,9804,1261,70088.59,2023-12-16,2024-02-16
CMP00007,Q2 Webinar Maximize 2026 #7,Webinar,9656.54,8344.88,256728,44813,8891,1286,146889.94,2022-12-23,2027-07-19
CMP00008,Winter Email Grow 2024 #8,Email,3039.03,2368.08,209780,6568,1633,273,,2025-04-08,2025-05-05
CMP00009,Launch Google Ads Engage 2026 #9,Google Ads,15649.63,12453.26,76177,2538,699,72,5033.35,2024-08-03,2024-09-30
CMP00010,Launch LinkedIn Engage 2023 #10,LinkedIn,48590.52,37223.71,234941,1919,221,10,15.65,2022-03-14,2022-03-21
CMP00011,Re-engagement Events Engage 2024 #11,Events,102555.25,79439.74,184951,42010,15517,5576,56612.87,2024-10-23,2024-12-26
CMP00012,Launch Organic Scale 2024 #12,Organic,1953.78,1197.98,479307,30285,10564,1551,1642986.19,2023-02-05,2023-05-05
CMP00013,Spring Google Ads Accelerate 2025 #13,Google Ads,89981.33,55652.94,433193,13210,3976,254,4528.62,2025-02-01,2025-02-21
CMP00014,Q4 Webinar Grow 2024 #14,Webinar,4754.4,3222.83,363810,70933,25979,5007,1852483.53,2023-03-02,2023-03-21
CMP00015,Re-engagement Organic Convert 2026 #15,Organic,3488.33,2868.13,196011,9050,3030,230,64747.26,2023-06-29,2028-02-03
CMP00016,Re-engagement Events Convert 2024 #16,Events,32631.08,25106.59,187454,31972,7579,2863,120161.17,2022-07-02,2022-07-16
CMP00017,Fall Google Ads Maximize 2026 #17,Google Ads,55677.67,39277.75,184057,5858,1072,150,4956.04,2024-06-23,2024-09-19
CMP00018,Fall Referral Drive 2025 #18,Referral,8209.87,6256.76,222969,25248,3020,1017,211816.72,2022-12-12,2023-03-06
CMP00019,Awareness Email Grow 2025 #19,Email,2960.29,2245.72,322582,6546,985,70,38822.09,2024-02-05,2024-03-19
